# z (nm)   (kJ/mol)
  0.1640  259.87532
  0.1660  257.79901
  0.1680  255.46089
  0.1700  253.42233
  0.1720  251.05083
  0.1740  248.85639
  0.1760  246.66811
  0.1780  244.40261
  0.1800  242.17515
  0.1820  239.86909
  0.1840  237.48604
  0.1860  235.00747
  0.1880  232.42039
  0.1900  229.70014
  0.1920  226.82438
  0.1940  223.78239
  0.1960  220.57165
  0.1980  217.18649
  0.2000  213.64553
  0.2020  209.96838
  0.2040  206.16377
  0.2060  202.25580
  0.2080  198.25445
  0.2100  194.16128
  0.2120  189.97993
  0.2140  185.71413
  0.2160  181.37100
  0.2180  176.97156
  0.2200  172.54094
  0.2220  168.12013
  0.2240  163.74700
  0.2260  159.48217
  0.2280  155.36898
  0.2300  151.41760
  0.2320  147.61043
  0.2340  143.90212
  0.2360  140.26306
  0.2380  136.70026
  0.2400  133.23661
  0.2420  129.89458
  0.2440  126.66003
  0.2460  123.47469
  0.2480  120.27965
  0.2500  117.03215
  0.2520  113.74353
  0.2540  110.43189
  0.2560  107.12586
  0.2580  103.86788
  0.2600  100.67912
  0.2620   97.59824
  0.2640   94.64459
  0.2660   91.79698
  0.2680   89.01909
  0.2700   86.24444
  0.2720   83.41853
  0.2740   80.50995
  0.2760   77.55221
  0.2780   74.62370
  0.2800   71.81238
  0.2820   69.14279
  0.2840   66.60649
  0.2860   64.10749
  0.2880   61.57046
  0.2900   58.94413
  0.2920   56.25854
  0.2940   53.62002
  0.2960   51.10917
  0.2980   48.78342
  0.3000   46.61751
  0.3020   44.52774
  0.3040   42.42573
  0.3060   40.26713
  0.3080   38.05914
  0.3100   35.85321
  0.3120   33.72046
  0.3140   31.68765
  0.3160   29.78039
  0.3180   27.95826
  0.3200   26.18101
  0.3220   24.40326
  0.3240   22.61094
  0.3260   20.82894
  0.3280   19.08516
  0.3300   17.41127
  0.3320   15.83538
  0.3340   14.35239
  0.3360   12.95481
  0.3380   11.63933
  0.3400   10.36822
  0.3420    9.15081
  0.3440    7.96077
  0.3460    6.80388
  0.3480    5.69654
  0.3500    4.62122
  0.3520    3.60576
  0.3540    2.65441
  0.3560    1.76025
  0.3580    0.91740
  0.3600    0.11233
  0.3620   -0.69912
  0.3640   -1.52020
  0.3660   -2.32828
  0.3680   -3.08405
  0.3700   -3.76339
  0.3720   -4.36264
  0.3740   -4.94557
  0.3760   -5.54405
  0.3780   -6.18288
  0.3800   -6.83373
  0.3820   -7.46521
  0.3840   -8.05669
  0.3860   -8.58955
  0.3880   -9.07524
  0.3900   -9.53008
  0.3920   -9.98346
  0.3940  -10.43824
  0.3960  -10.89816
  0.3980  -11.32516
  0.4000  -11.68607
  0.4020  -11.95051
  0.4040  -12.14940
  0.4060  -12.34923
  0.4080  -12.61321
  0.4100  -12.93309
  0.4120  -13.23611
  0.4140  -13.44291
  0.4160  -13.53660
  0.4180  -13.56566
  0.4200  -13.59129
  0.4220  -13.61378
  0.4240  -13.61753
  0.4260  -13.60595
  0.4280  -13.57318
  0.4300  -13.53017
  0.4320  -13.48337
  0.4340  -13.41741
  0.4360  -13.34143
  0.4380  -13.25617
  0.4400  -13.16844
  0.4420  -13.08813
  0.4440  -13.02161
  0.4460  -12.94983
  0.4480  -12.87734
  0.4500  -12.80441
  0.4520  -12.74804
  0.4540  -12.70775
  0.4560  -12.70011
  0.4580  -12.69904
  0.4600  -12.71395
  0.4620  -12.71583
  0.4640  -12.69938
  0.4660  -12.66164
  0.4680  -12.60418
  0.4700  -12.55693
  0.4720  -12.52323
  0.4740  -12.51677
  0.4760  -12.52230
  0.4780  -12.53275
  0.4800  -12.53141
  0.4820  -12.51542
  0.4840  -12.48038
  0.4860  -12.43539
  0.4880  -12.38641
  0.4900  -12.32587
  0.4920  -12.26137
  0.4940  -12.20172
  0.4960  -12.13737
  0.4980  -12.06919
  0.5000  -12.00917
  0.5020  -11.94880
  0.5040  -11.88342
  0.5060  -11.81066
  0.5080  -11.72333
  0.5100  -11.62553
  0.5120  -11.51604
  0.5140  -11.40882
  0.5160  -11.30572
  0.5180  -11.20765
  0.5200  -11.10448
  0.5220  -11.00133
  0.5240  -10.88507
  0.5260  -10.76297
  0.5280  -10.63943
  0.5300  -10.50121
  0.5320  -10.36169
  0.5340  -10.22984
  0.5360  -10.11614
  0.5380  -10.02417
  0.5400   -9.95176
  0.5420   -9.88232
  0.5440   -9.80169
  0.5460   -9.71010
  0.5480   -9.61646
  0.5500   -9.52316
  0.5520   -9.43526
  0.5540   -9.35260
  0.5560   -9.27097
  0.5580   -9.17369
  0.5600   -9.05944
  0.5620   -8.91644
  0.5640   -8.77302
  0.5660   -8.63428
  0.5680   -8.51867
  0.5700   -8.43667
  0.5720   -8.37920
  0.5740   -8.31518
  0.5760   -8.23412
  0.5780   -8.11336
  0.5800   -7.95864
  0.5820   -7.78073
  0.5840   -7.60308
  0.5860   -7.44197
  0.5880   -7.30516
  0.5900   -7.20180
  0.5920   -7.12813
  0.5940   -7.06142
  0.5960   -6.99570
  0.5980   -6.90885
  0.6000   -6.78804
  0.6020   -6.63272
  0.6040   -6.45387
  0.6060   -6.26584
  0.6080   -6.07498
  0.6100   -5.91350
  0.6120   -5.78089
  0.6140   -5.68725
  0.6160   -5.62680
  0.6180   -5.57337
  0.6200   -5.52532
  0.6220   -5.45759
  0.6240   -5.37442
  0.6260   -5.27872
  0.6280   -5.17752
  0.6300   -5.07669
  0.6320   -4.97248
  0.6340   -4.88593
  0.6360   -4.81922
  0.6380   -4.78611
  0.6400   -4.77108
  0.6420   -4.78746
  0.6440   -4.81684
  0.6460   -4.82688
  0.6480   -4.79987
  0.6500   -4.73545
  0.6520   -4.64259
  0.6540   -4.53300
  0.6560   -4.42982
  0.6580   -4.34158
  0.6600   -4.29030
  0.6620   -4.26875
  0.6640   -4.27932
  0.6660   -4.30556
  0.6680   -4.34540
  0.6700   -4.38076
  0.6720   -4.39807
  0.6740   -4.38798
  0.6760   -4.35141
  0.6780   -4.29455
  0.6800   -4.22472
  0.6820   -4.15289
  0.6840   -4.08499
  0.6860   -4.03382
  0.6880   -4.00219
  0.6900   -4.00180
  0.6920   -4.00844
  0.6940   -4.04195
  0.6960   -4.07674
  0.6980   -4.10468
  0.7000   -4.11492
  0.7020   -4.10144
  0.7040   -4.06067
  0.7060   -4.00814
