
# PMF between COMs of AASN and ALEU.
#
#               PMF
# z (nm)   (kJ/mol)   
  0.252  210.505974
  0.255  205.271827
  0.258  199.681594
  0.261  193.712343
  0.264  187.335339
  0.267  180.536865
  0.270  173.309460
  0.273  165.667754
  0.276  157.629557
  0.279  149.241075
  0.282  140.568765
  0.285  131.725955
  0.288  122.890710
  0.291  114.276502
  0.294  106.020755
  0.297   98.173824
  0.300   90.754850
  0.303   83.782597
  0.306   77.284981
  0.309   71.308857
  0.312   65.926098
  0.315   61.173621
  0.318   57.036308
  0.321   53.374584
  0.324   49.991170
  0.327   46.705794
  0.330   43.453298
  0.333   40.274616
  0.336   37.270152
  0.339   34.513064
  0.342   32.020316
  0.345   29.764247
  0.348   27.700187
  0.351   25.770090
  0.354   23.940685
  0.357   22.174556
  0.360   20.457307
  0.363   18.787290
  0.366   17.193262
  0.369   15.687356
  0.372   14.294475
  0.375   13.026085
  0.378   11.888084
  0.381   10.866900
  0.384    9.950948
  0.387    9.117082
  0.390    8.352946
  0.393    7.644124
  0.396    6.985867
  0.399    6.379584
  0.402    5.845134
  0.405    5.385251
  0.408    5.009829
  0.411    4.725362
  0.414    4.522655
  0.417    4.372958
  0.420    4.233696
  0.423    4.061017
  0.426    3.821434
  0.429    3.489150
  0.432    3.093098
  0.435    2.695707
  0.438    2.360960
  0.441    2.167395
  0.444    2.122648
  0.447    2.193304
  0.450    2.314629
  0.453    2.410300
  0.456    2.432662
  0.459    2.366099
  0.462    2.226040
  0.465    2.042803
  0.468    1.854086
  0.471    1.677349
  0.474    1.524670
  0.477    1.411731
  0.480    1.313397
  0.483    1.243520
  0.486    1.184615
  0.489    1.139550
  0.492    1.113497
  0.495    1.106455
  0.498    1.119337
  0.501    1.152022
  0.504    1.203144
  0.507    1.247609
  0.510    1.281141
  0.513    1.311523
  0.516    1.323824
  0.519    1.325183
  0.522    1.316946
  0.525    1.304370
  0.528    1.295933
  0.531    1.285873
  0.534    1.270058
  0.537    1.253979
  0.540    1.247174
  0.543    1.228703
  0.546    1.210518
  0.549    1.198523
  0.552    1.184999
  0.555    1.177624
  0.558    1.178783
  0.561    1.181560
  0.564    1.196641
  0.567    1.222736
  0.570    1.266630
  0.573    1.324867
  0.576    1.396420
  0.579    1.477804
  0.582    1.563727
  0.585    1.648619
  0.588    1.723294
  0.591    1.789505
  0.594    1.833812
  0.597    1.856437
  0.600    1.865275
  0.603    1.860126
  0.606    1.847627
  0.609    1.842959
  0.612    1.838349
  0.615    1.838773
  0.618    1.853270
  0.621    1.876210
  0.624    1.913390
  0.627    1.962639
  0.630    2.020940
  0.633    2.081814
  0.636    2.153958
  0.639    2.222631
