#Name  kT        Joules        kJ/mol    
ALA    3.026     1.253E-20     7.564     
ARG    3.487     1.444E-20     8.717     
ASN    3.697     1.531E-20     9.243     
ASP    3.767     1.560E-20     9.417     
CYS    3.651     1.512E-20     9.127     
GLN    3.534     1.464E-20     8.835     
GLU    3.416     1.415E-20     8.541     
GLY    3.651     1.512E-20     9.127     
HIS    3.767     1.560E-20     9.417     
ILE    2.716     1.125E-20     6.791     
LEU    2.692     1.115E-20     6.729     
LYS    3.098     1.283E-20     7.745     
MET    3.345     1.386E-20     8.363     
PHE    3.627     1.502E-20     9.069     
PRO    2.945     1.220E-20     7.362     
SER    3.581     1.483E-20     8.952     
THR    3.122     1.293E-20     7.805     
TRP    4.177     1.730E-20     10.442    
TYR    3.321     1.376E-20     8.304     
VAL    2.741     1.135E-20     6.852     
CHL    1.140     4.724E-21     2.851     
PHO    1.371     5.678E-21     3.427     
EST    0.881     3.648E-21     2.202     
