# z (nm)   (kJ/mol)
  0.0600  275.41565
  0.0620  272.54799
  0.0640  270.08651
  0.0660  267.56677
  0.0680  265.08857
  0.0700  262.71166
  0.0720  260.26017
  0.0740  257.82193
  0.0760  255.32691
  0.0780  252.74388
  0.0800  250.10462
  0.0820  247.36877
  0.0840  244.53070
  0.0860  241.56924
  0.0880  238.48578
  0.0900  235.27650
  0.0920  231.93419
  0.0940  228.46996
  0.0960  224.88554
  0.0980  221.18790
  0.1000  217.38796
  0.1020  213.50125
  0.1040  209.53542
  0.1060  205.50463
  0.1080  201.41421
  0.1100  197.26712
  0.1120  193.06742
  0.1140  188.81773
  0.1160  184.51590
  0.1180  180.17938
  0.1200  175.81899
  0.1220  171.46298
  0.1240  167.14477
  0.1260  162.90364
  0.1280  158.78281
  0.1300  154.80611
  0.1320  150.98418
  0.1340  147.31454
  0.1360  143.77948
  0.1380  140.33846
  0.1400  136.94892
  0.1420  133.58312
  0.1440  130.21279
  0.1460  126.84436
  0.1480  123.48184
  0.1500  120.14606
  0.1520  116.86647
  0.1540  113.66110
  0.1560  110.54374
  0.1580  107.51321
  0.1600  104.56095
  0.1620  101.66207
  0.1640   98.78661
  0.1660   95.91885
  0.1680   93.04229
  0.1700   90.15879
  0.1720   87.26905
  0.1740   84.39233
  0.1760   81.54204
  0.1780   78.73232
  0.1800   75.98175
  0.1820   73.30300
  0.1840   70.70857
  0.1860   68.19889
  0.1880   65.77771
  0.1900   63.43667
  0.1920   61.16975
  0.1940   58.96687
  0.1960   56.80127
  0.1980   54.65576
  0.2000   52.51935
  0.2020   50.38444
  0.2040   48.25453
  0.2060   46.13242
  0.2080   44.04867
  0.2100   42.01498
  0.2120   40.05635
  0.2140   38.16885
  0.2160   36.36239
  0.2180   34.62694
  0.2200   32.94630
  0.2220   31.30661
  0.2240   29.71225
  0.2260   28.14694
  0.2280   26.61492
  0.2300   25.11799
  0.2320   23.65595
  0.2340   22.23591
  0.2360   20.84650
  0.2380   19.50617
  0.2400   18.20591
  0.2420   16.94717
  0.2440   15.73651
  0.2460   14.58241
  0.2480   13.47038
  0.2500   12.41763
  0.2520   11.40252
  0.2540   10.42976
  0.2560    9.48149
  0.2580    8.56528
  0.2600    7.67858
  0.2620    6.83001
  0.2640    6.02445
  0.2660    5.27102
  0.2680    4.57419
  0.2700    3.92931
  0.2720    3.32333
  0.2740    2.74704
  0.2760    2.19237
  0.2780    1.65078
  0.2800    1.14545
  0.2820    0.66154
  0.2840    0.19797
  0.2860   -0.23443
  0.2880   -0.64881
  0.2900   -1.03460
  0.2920   -1.39658
  0.2940   -1.73664
  0.2960   -2.05147
  0.2980   -2.33781
  0.3000   -2.59956
  0.3020   -2.84211
  0.3040   -3.07071
  0.3060   -3.28349
  0.3080   -3.47209
  0.3100   -3.66015
  0.3120   -3.83315
  0.3140   -3.99253
  0.3160   -4.14283
  0.3180   -4.28713
  0.3200   -4.41854
  0.3220   -4.54703
  0.3240   -4.66971
  0.3260   -4.78970
  0.3280   -4.90648
  0.3300   -5.02020
  0.3320   -5.13266
  0.3340   -5.23372
  0.3360   -5.33220
  0.3380   -5.43235
  0.3400   -5.51671
  0.3420   -5.59750
  0.3440   -5.66286
  0.3460   -5.71620
  0.3480   -5.75526
  0.3500   -5.78186
  0.3520   -5.81443
  0.3540   -5.83683
  0.3560   -5.85895
  0.3580   -5.88338
  0.3600   -5.90456
  0.3620   -5.93141
  0.3640   -5.94577
  0.3660   -5.95000
  0.3680   -5.94065
  0.3700   -5.92339
  0.3720   -5.88963
  0.3740   -5.84974
  0.3760   -5.79951
  0.3780   -5.74421
  0.3800   -5.68550
  0.3820   -5.62714
  0.3840   -5.57614
  0.3860   -5.52805
  0.3880   -5.48341
  0.3900   -5.43705
  0.3920   -5.39571
  0.3940   -5.35281
  0.3960   -5.30705
  0.3980   -5.25883
  0.4000   -5.21375
  0.4020   -5.15877
  0.4040   -5.09535
  0.4060   -5.01791
  0.4080   -4.93859
  0.4100   -4.84987
  0.4120   -4.75506
  0.4140   -4.66141
  0.4160   -4.55786
  0.4180   -4.45270
  0.4200   -4.33724
  0.4220   -4.22729
  0.4240   -4.10881
  0.4260   -3.98203
  0.4280   -3.85235
  0.4300   -3.72291
  0.4320   -3.58492
  0.4340   -3.44473
  0.4360   -3.30330
  0.4380   -3.15806
  0.4400   -3.01547
  0.4420   -2.87810
  0.4440   -2.73741
  0.4460   -2.59733
  0.4480   -2.46672
  0.4500   -2.33184
  0.4520   -2.19781
  0.4540   -2.07232
  0.4560   -1.95114
  0.4580   -1.83584
  0.4600   -1.72006
  0.4620   -1.61946
  0.4640   -1.52312
  0.4660   -1.43260
  0.4680   -1.33512
  0.4700   -1.24699
  0.4720   -1.15748
  0.4740   -1.04974
  0.4760   -0.93643
  0.4780   -0.80815
  0.4800   -0.67038
  0.4820   -0.51596
  0.4840   -0.35862
  0.4860   -0.19836
  0.4880   -0.03300
  0.4900    0.12359
  0.4920    0.27849
  0.4940    0.42908
  0.4960    0.57065
  0.4980    0.70932
  0.5000    0.84976
  0.5020    0.98417
  0.5040    1.12753
  0.5060    1.26337
  0.5080    1.39759
  0.5100    1.53448
  0.5120    1.66768
  0.5140    1.79823
  0.5160    1.92839
  0.5180    2.04843
  0.5200    2.16901
  0.5220    2.27984
  0.5240    2.38801
  0.5260    2.49175
  0.5280    2.58893
  0.5300    2.68399
  0.5320    2.77036
  0.5340    2.86062
  0.5360    2.95143
  0.5380    3.03061
  0.5400    3.10862
  0.5420    3.17144
  0.5440    3.23400
  0.5460    3.27488
  0.5480    3.30334
  0.5500    3.31700
  0.5520    3.30459
  0.5540    3.28204
  0.5560    3.24128
  0.5580    3.19064
  0.5600    3.13925
  0.5620    3.09453
  0.5640    3.05622
  0.5660    3.02383
  0.5680    2.99667
  0.5700    2.98111
  0.5720    2.96585
  0.5740    2.95155
  0.5760    2.93516
  0.5780    2.90840
  0.5800    2.87937
  0.5820    2.84689
  0.5840    2.81211
  0.5860    2.77446
  0.5880    2.73247
  0.5900    2.68860
  0.5920    2.65022
  0.5940    2.60333
  0.5960    2.54742
  0.5980    2.48699
  0.6000    2.41703
  0.6020    2.33923
  0.6040    2.25197
  0.6060    2.16226
  0.6080    2.07715
  0.6100    1.98716
  0.6120    1.90645
  0.6140    1.83594
  0.6160    1.77245
  0.6180    1.72271
  0.6200    1.68655
  0.6220    1.66216
  0.6240    1.63333
  0.6260    1.60654
  0.6280    1.56829
  0.6300    1.52908
  0.6320    1.48131
  0.6340    1.42347
  0.6360    1.35476
  0.6380    1.27677
  0.6400    1.19814
  0.6420    1.12218
  0.6440    1.05659
  0.6460    0.99582
  0.6480    0.93761
  0.6500    0.88595
  0.6520    0.83638
  0.6540    0.78621
  0.6560    0.74507
  0.6580    0.70741
  0.6600    0.67266
  0.6620    0.64288
  0.6640    0.62258
  0.6660    0.59779
  0.6680    0.57844
  0.6700    0.56489
  0.6720    0.55469
  0.6740    0.54595
  0.6760    0.54219
  0.6780    0.53913
  0.6800    0.53014
  0.6820    0.51415
  0.6840    0.50274
  0.6860    0.48488
  0.6880    0.46115
  0.6900    0.43424
  0.6920    0.40797
  0.6940    0.37563
  0.6960    0.34598
  0.6980    0.32094
  0.7000    0.29110
  0.7020    0.27326
  0.7040    0.25264
  0.7060    0.23728
  0.7080    0.23299
  0.7100    0.23363
  0.7120    0.23865
  0.7140    0.24088
  0.7160    0.25121
  0.7180    0.27166
  0.7200    0.28809
  0.7220    0.30319
  0.7240    0.32335
  0.7260    0.33297
  0.7280    0.34020
  0.7300    0.34809
  0.7320    0.35418
  0.7340    0.35744
  0.7360    0.35939
  0.7380    0.35602
  0.7400    0.35313
  0.7420    0.35377
  0.7440    0.34736
  0.7460    0.34609
  0.7480    0.35020
  0.7500    0.35039
  0.7520    0.35995
  0.7540    0.37198
  0.7560    0.38663
  0.7580    0.40625
  0.7600    0.42790
  0.7620    0.45000
  0.7640    0.47126
  0.7660    0.49531
  0.7680    0.51621
  0.7700    0.53569
  0.7720    0.55058
  0.7740    0.56642
  0.7760    0.57524
  0.7780    0.59081
  0.7800    0.60309
  0.7820    0.61161
  0.7840    0.62712
  0.7860    0.63710
  0.7880    0.65097
  0.7900    0.66663
  0.7920    0.67861
  0.7940    0.69416
  0.7960    0.70579
  0.7980    0.72216
  0.8000    0.73644
  0.8020    0.73801
  0.8040    0.75017
  0.8060    0.76135
  0.8080    0.76853
  0.8100    0.77476
  0.8120    0.78015
  0.8140    0.78719
  0.8160    0.79291
  0.8180    0.79422
  0.8200    0.80182
  0.8220    0.80860
  0.8240    0.81205
  0.8260    0.81773
  0.8280    0.81727
  0.8300    0.82262
  0.8320    0.81226
  0.8340    0.80269
  0.8360    0.79242
  0.8380    0.77435
  0.8400    0.75965
  0.8420    0.74259
  0.8440    0.72497
  0.8460    0.70921
  0.8480    0.69628
  0.8500    0.68330
  0.8520    0.67217
  0.8540    0.65842
  0.8560    0.64727
  0.8580    0.63584
  0.8600    0.62471
  0.8620    0.61443
  0.8640    0.59793
  0.8660    0.58479
  0.8680    0.56840
  0.8700    0.55069
  0.8720    0.53118
  0.8740    0.50944
  0.8760    0.48636
  0.8780    0.46645
  0.8800    0.45380
  0.8820    0.43455
  0.8840    0.41760
  0.8860    0.40297
  0.8880    0.39308
  0.8900    0.37494
  0.8920    0.36406
  0.8940    0.34975
  0.8960    0.34274
  0.8980    0.33270
  0.9000    0.31822
  0.9020    0.30150
  0.9040    0.29319
  0.9060    0.27538
  0.9080    0.26010
  0.9100    0.24707
  0.9120    0.23451
  0.9140    0.22272
  0.9160    0.21335
  0.9180    0.20186
  0.9200    0.18994
  0.9220    0.17680
  0.9240    0.16117
  0.9260    0.14876
  0.9280    0.13882
  0.9300    0.12677
  0.9320    0.11351
  0.9340    0.10106
  0.9360    0.08598
  0.9380    0.07087
  0.9400    0.05006
  0.9420    0.03433
  0.9440    0.01870
