# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.078000,269.608047
  0.079000,267.655650
  0.080000,265.703253
  0.081000,264.307485
  0.082000,262.911717
  0.083000,261.488222
  0.084000,260.064727
  0.085000,258.682626
  0.086000,257.300525
  0.087000,255.924362
  0.088000,254.548199
  0.089000,253.151271
  0.090000,251.754342
  0.091000,250.347203
  0.092000,248.940064
  0.093000,247.511062
  0.094000,246.082060
  0.095000,244.628176
  0.096000,243.174291
  0.097000,241.681540
  0.098000,240.188788
  0.099000,238.651298
  0.100000,237.113808
  0.101000,235.526221
  0.102000,233.938634
  0.103000,232.295744
  0.104000,230.652854
  0.105000,228.948110
  0.106000,227.243367
  0.107000,225.474649
  0.108000,223.705931
  0.109000,221.868455
  0.110000,220.030980
  0.111000,218.127234
  0.112000,216.223488
  0.113000,214.253580
  0.114000,212.283673
  0.115000,210.253503
  0.116000,208.223332
  0.117000,206.140274
  0.118000,204.057215
  0.119000,201.933815
  0.120000,199.810415
  0.121000,197.662308
  0.122000,195.514200
  0.123000,193.357370
  0.124000,191.200541
  0.125000,189.048538
  0.126000,186.896535
  0.127000,184.756694
  0.128000,182.616852
  0.129000,180.497952
  0.130000,178.379053
  0.131000,176.280932
  0.132000,174.182812
  0.133000,172.105187
  0.134000,170.027562
  0.135000,167.971186
  0.136000,165.914810
  0.137000,163.878351
  0.138000,161.841891
  0.139000,159.828969
  0.140000,157.816047
  0.141000,155.827717
  0.142000,153.839388
  0.143000,151.884759
  0.144000,149.930130
  0.145000,148.014176
  0.146000,146.098223
  0.147000,144.226799
  0.148000,142.355376
  0.149000,140.532259
  0.150000,138.709143
  0.151000,136.935982
  0.152000,135.162822
  0.153000,133.437685
  0.154000,131.712549
  0.155000,130.026940
  0.156000,128.341330
  0.157000,126.683759
  0.158000,125.026188
  0.159000,123.385336
  0.160000,121.744484
  0.161000,120.111523
  0.162000,118.478562
  0.163000,116.848052
  0.164000,115.217542
  0.165000,113.589672
  0.166000,111.961802
  0.167000,110.339315
  0.168000,108.716828
  0.169000,107.102992
  0.170000,105.489156
  0.171000,103.888286
  0.172000,102.287415
  0.173000,100.703374
  0.174000, 99.119332
  0.175000, 97.556507
  0.176000, 95.993682
  0.177000, 94.452276
  0.178000, 92.910869
  0.179000, 91.396368
  0.180000, 89.881868
  0.181000, 88.391166
  0.182000, 86.900465
  0.183000, 85.432037
  0.184000, 83.963610
  0.185000, 82.513348
  0.186000, 81.063087
  0.187000, 79.629319
  0.188000, 78.195551
  0.189000, 76.778879
  0.190000, 75.362207
  0.191000, 73.958654
  0.192000, 72.555102
  0.193000, 71.167338
  0.194000, 69.779575
  0.195000, 68.415022
  0.196000, 67.050469
  0.197000, 65.708010
  0.198000, 64.365551
  0.199000, 63.048351
  0.200000, 61.731151
  0.201000, 60.441411
  0.202000, 59.151672
  0.203000, 57.887408
  0.204000, 56.623144
  0.205000, 55.384758
  0.206000, 54.146371
  0.207000, 52.935020
  0.208000, 51.723669
  0.209000, 50.536222
  0.210000, 49.348775
  0.211000, 48.184931
  0.212000, 47.021088
  0.213000, 45.877223
  0.214000, 44.733358
  0.215000, 43.613377
  0.216000, 42.493397
  0.217000, 41.394593
  0.218000, 40.295790
  0.219000, 39.221931
  0.220000, 38.148073
  0.221000, 37.099677
  0.222000, 36.051281
  0.223000, 35.031610
  0.224000, 34.011938
  0.225000, 33.012150
  0.226000, 32.012362
  0.227000, 31.032804
  0.228000, 30.053245
  0.229000, 29.092524
  0.230000, 28.131803
  0.231000, 27.188007
  0.232000, 26.244211
  0.233000, 25.316775
  0.234000, 24.389339
  0.235000, 23.482760
  0.236000, 22.576181
  0.237000, 21.694974
  0.238000, 20.813767
  0.239000, 19.961945
  0.240000, 19.110124
  0.241000, 18.290465
  0.242000, 17.470806
  0.243000, 16.683011
  0.244000, 15.895216
  0.245000, 15.132696
  0.246000, 14.370177
  0.247000, 13.627749
  0.248000, 12.885322
  0.249000, 12.156173
  0.250000, 11.427024
  0.251000, 10.707995
  0.252000,  9.988965
  0.253000,  9.281993
  0.254000,  8.575021
  0.255000,  7.879829
  0.256000,  7.184636
  0.257000,  6.506047
  0.258000,  5.827457
  0.259000,  5.171393
  0.260000,  4.515329
  0.261000,  3.889027
  0.262000,  3.262725
  0.263000,  2.665434
  0.264000,  2.068143
  0.265000,  1.504844
  0.266000,  0.941545
  0.267000,  0.407367
  0.268000, -0.126812
  0.269000, -0.628172
  0.270000, -1.129532
  0.271000, -1.604568
  0.272000, -2.079603
  0.273000, -2.536112
  0.274000, -2.992620
