# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.117000, -8.744894
  0.118000, -9.158632
  0.119000, -9.572369
  0.120000, -9.987441
  0.121000,-10.402513
  0.122000,-10.814248
  0.123000,-11.225983
  0.124000,-11.629977
  0.125000,-12.033972
  0.126000,-12.434368
  0.127000,-12.834763
  0.128000,-13.229426
  0.129000,-13.624089
  0.130000,-14.011233
  0.131000,-14.398377
  0.132000,-14.776903
  0.133000,-15.155430
  0.134000,-15.525643
  0.135000,-15.895856
  0.136000,-16.257701
  0.137000,-16.619545
  0.138000,-16.970964
  0.139000,-17.322383
  0.140000,-17.662636
  0.141000,-18.002889
  0.142000,-18.331340
  0.143000,-18.659791
  0.144000,-18.976014
  0.145000,-19.292237
  0.146000,-19.597116
  0.147000,-19.901994
  0.148000,-20.194466
  0.149000,-20.486938
  0.150000,-20.765979
  0.151000,-21.045020
  0.152000,-21.311938
  0.153000,-21.578857
  0.154000,-21.831750
  0.155000,-22.084644
  0.156000,-22.323335
  0.157000,-22.562026
  0.158000,-22.786310
  0.159000,-23.010594
  0.160000,-23.219595
  0.161000,-23.428595
  0.162000,-23.622708
  0.163000,-23.816821
  0.164000,-23.996008
  0.165000,-24.175196
  0.166000,-24.339538
  0.167000,-24.503881
  0.168000,-24.653705
  0.169000,-24.803529
  0.170000,-24.938371
  0.171000,-25.073214
  0.172000,-25.193871
  0.173000,-25.314529
  0.174000,-25.420182
  0.175000,-25.525834
  0.176000,-25.616727
  0.177000,-25.707621
  0.178000,-25.784433
  0.179000,-25.861246
  0.180000,-25.923856
  0.181000,-25.986466
  0.182000,-26.035155
  0.183000,-26.083845
  0.184000,-26.119177
  0.185000,-26.154508
  0.186000,-26.176458
  0.187000,-26.198407
  0.188000,-26.208158
  0.189000,-26.217910
  0.190000,-26.214902
  0.191000,-26.211894
  0.192000,-26.196886
  0.193000,-26.181878
  0.194000,-26.155271
  0.195000,-26.128664
  0.196000,-26.090477
  0.197000,-26.052290
  0.198000,-26.003726
  0.199000,-25.955162
  0.200000,-25.897023
  0.201000,-25.838884
  0.202000,-25.771529
  0.203000,-25.704173
  0.204000,-25.629262
  0.205000,-25.554351
  0.206000,-25.471204
  0.207000,-25.388057
  0.208000,-25.297614
  0.209000,-25.207171
  0.210000,-25.110054
  0.211000,-25.012937
  0.212000,-24.910005
  0.213000,-24.807072
  0.214000,-24.698423
  0.215000,-24.589774
  0.216000,-24.474933
  0.217000,-24.360092
  0.218000,-24.240719
  0.219000,-24.121346
  0.220000,-23.999416
  0.221000,-23.877487
  0.222000,-23.752526
  0.223000,-23.627565
  0.224000,-23.498992
  0.225000,-23.370418
  0.226000,-23.239511
  0.227000,-23.108604
  0.228000,-22.976300
  0.229000,-22.843997
  0.230000,-22.710521
  0.231000,-22.577044
  0.232000,-22.442233
  0.233000,-22.307423
  0.234000,-22.171574
  0.235000,-22.035726
  0.236000,-21.899827
  0.237000,-21.763929
  0.238000,-21.628097
  0.239000,-21.492265
  0.240000,-21.356198
  0.241000,-21.220131
  0.242000,-21.085150
  0.243000,-20.950168
  0.244000,-20.815693
  0.245000,-20.681217
  0.246000,-20.547925
  0.247000,-20.414634
  0.248000,-20.282207
  0.249000,-20.149779
  0.250000,-20.018678
  0.251000,-19.887577
  0.252000,-19.757518
  0.253000,-19.627460
  0.254000,-19.499407
  0.255000,-19.371354
