# PMF between COM of SHIE and TiO2 slab.
#
#              SHIE
# z (nm)   (kJ/mol)                
  0.1504  306.92542
  0.1536  306.48972
  0.1568  306.05162
  0.1600  305.60362
  0.1632  305.14122
  0.1664  304.65452
  0.1696  304.13552
  0.1728  303.57182
  0.1760  302.93832
  0.1792  302.21242
  0.1824  301.36422
  0.1856  300.35362
  0.1888  299.13032
  0.1920  297.63602
  0.1952  295.79742
  0.1984  293.53442
  0.2016  290.75662
  0.2048  287.36762
  0.2080  283.27452
  0.2112  278.38862
  0.2144  272.63992
  0.2176  265.98482
  0.2208  258.41022
  0.2240  249.93572
  0.2272  240.62872
  0.2304  230.59862
  0.2336  219.99722
  0.2368  209.02022
  0.2400  197.90422
  0.2432  186.92222
  0.2464  176.33122
  0.2496  166.33222
  0.2528  157.03522
  0.2560  148.47022
  0.2592  140.62222
  0.2624  133.40522
  0.2656  126.66522
  0.2688  120.20622
  0.2720  113.89322
  0.2752  107.69622
  0.2784  101.66222
  0.2816   95.81822
  0.2848   90.14322
  0.2880   84.68422
  0.2912   79.60122
  0.2944   74.87922
  0.2976   70.16122
  0.3008   65.14922
  0.3040   59.97322
  0.3072   55.04322
  0.3104   50.61022
  0.3136   46.50522
  0.3168   42.56522
  0.3200   39.07322
  0.3232   36.31822
  0.3264   34.20222
  0.3296   32.43222
  0.3328   30.87722
  0.3360   29.55122
  0.3392   28.51622
  0.3424   27.79322
  0.3456   27.33422
  0.3488   27.08122
  0.3520   26.96022
  0.3552   26.90822
  0.3584   26.86722
  0.3616   26.82322
  0.3648   26.82022
  0.3680   26.90222
  0.3712   27.04622
  0.3744   27.14122
  0.3776   27.08122
  0.3808   26.84522
  0.3840   26.46322
  0.3872   25.96522
  0.3904   25.34822
  0.3936   24.59022
  0.3968   23.67022
  0.4000   22.59622
  0.4032   21.42122
  0.4064   20.21222
  0.4096   19.03122
  0.4128   17.87822
  0.4160   16.71522
  0.4192   15.49622
  0.4224   14.24222
  0.4256   12.99822
  0.4288   11.80122
  0.4320   10.64422
  0.4352    9.50122
  0.4384    8.37322
  0.4416    7.28122
  0.4448    6.28022
  0.4480    5.38522
  0.4512    4.59922
  0.4544    3.88922
  0.4576    3.21422
  0.4608    2.56222
  0.4640    1.92722
  0.4672    1.32022
  0.4704    0.75522
  0.4736    0.22322
  0.4768   -0.29778
  0.4800   -0.80878
  0.4832   -1.31478
  0.4864   -1.81178
  0.4896   -2.28078
  0.4928   -2.70878
  0.4960   -3.08678
  0.4992   -3.41978
  0.5024   -3.70378
  0.5056   -3.94578
  0.5088   -4.14778
  0.5120   -4.31778
  0.5152   -4.45278
  0.5184   -4.55778
  0.5216   -4.64178
  0.5248   -4.70978
  0.5280   -4.74878
  0.5312   -4.77378
  0.5344   -4.78678
  0.5376   -4.78978
  0.5408   -4.79878
  0.5440   -4.81378
  0.5472   -4.81678
  0.5504   -4.80578
  0.5536   -4.77778
  0.5568   -4.74678
  0.5600   -4.73478
