# z (nm)   (kJ/mol)
  0.1240  275.22747
  0.1260  272.75179
  0.1280  270.01256
  0.1300  267.37185
  0.1320  267.60280
  0.1340  264.86423
  0.1360  262.19859
  0.1380  259.68671
  0.1400  257.06956
  0.1420  254.47466
  0.1440  251.86249
  0.1460  249.17664
  0.1480  246.43623
  0.1500  243.60076
  0.1520  240.65553
  0.1540  237.58032
  0.1560  234.35883
  0.1580  230.97666
  0.1600  227.41490
  0.1620  223.67550
  0.1640  219.75702
  0.1660  215.68816
  0.1680  211.50238
  0.1700  207.24357
  0.1720  202.96633
  0.1740  198.71556
  0.1760  194.52167
  0.1780  190.40058
  0.1800  186.34884
  0.1820  182.35654
  0.1840  178.41209
  0.1860  174.51174
  0.1880  170.65917
  0.1900  166.86162
  0.1920  163.14906
  0.1940  159.53310
  0.1960  156.03303
  0.1980  152.65133
  0.2000  149.37982
  0.2020  146.19376
  0.2040  143.05935
  0.2060  139.93791
  0.2080  136.80940
  0.2100  133.66409
  0.2120  130.49879
  0.2140  127.32926
  0.2160  124.18157
  0.2180  121.07529
  0.2200  118.01548
  0.2220  115.01000
  0.2240  112.04938
  0.2260  109.12576
  0.2280  106.23000
  0.2300  103.35961
  0.2320  100.52323
  0.2340   97.72635
  0.2360   94.98195
  0.2380   92.30108
  0.2400   89.68661
  0.2420   87.13765
  0.2440   84.64809
  0.2460   82.20522
  0.2480   79.79405
  0.2500   77.40943
  0.2520   75.04116
  0.2540   72.68681
  0.2560   70.35234
  0.2580   68.03862
  0.2600   65.77022
  0.2620   63.55252
  0.2640   61.39713
  0.2660   59.30690
  0.2680   57.26747
  0.2700   55.28205
  0.2720   53.34134
  0.2740   51.43647
  0.2760   49.56060
  0.2780   47.71798
  0.2800   45.89859
  0.2820   44.11710
  0.2840   42.37388
  0.2860   40.67727
  0.2880   39.02364
  0.2900   37.41326
  0.2920   35.84569
  0.2940   34.31012
  0.2960   32.81211
  0.2980   31.34240
  0.3000   29.90500
  0.3020   28.48408
  0.3040   27.09686
  0.3060   25.75086
  0.3080   24.44110
  0.3100   23.17979
  0.3120   21.95796
  0.3140   20.77487
  0.3160   19.62486
  0.3180   18.51197
  0.3200   17.43174
  0.3220   16.38079
  0.3240   15.35241
  0.3260   14.35100
  0.3280   13.37625
  0.3300   12.42546
  0.3320   11.50885
  0.3340   10.62321
  0.3360    9.77820
  0.3380    8.97117
  0.3400    8.19905
  0.3420    7.45326
  0.3440    6.74647
  0.3460    6.05590
  0.3480    5.38783
  0.3500    4.74019
  0.3520    4.10745
  0.3540    3.51167
  0.3560    2.94441
  0.3580    2.41671
  0.3600    1.92435
  0.3620    1.46342
  0.3640    1.02589
  0.3660    0.60598
  0.3680    0.19586
  0.3700   -0.20352
  0.3720   -0.58572
  0.3740   -0.94417
  0.3760   -1.27537
  0.3780   -1.57407
  0.3800   -1.84063
  0.3820   -2.07723
  0.3840   -2.29006
  0.3860   -2.47653
  0.3880   -2.65257
  0.3900   -2.81640
  0.3920   -2.98059
  0.3940   -3.13302
  0.3960   -3.27523
  0.3980   -3.40034
  0.4000   -3.50753
  0.4020   -3.59350
  0.4040   -3.65346
  0.4060   -3.69010
  0.4080   -3.70712
  0.4100   -3.71919
  0.4120   -3.71126
  0.4140   -3.69843
  0.4160   -3.67200
  0.4180   -3.63608
  0.4200   -3.58939
  0.4220   -3.53683
  0.4240   -3.47461
  0.4260   -3.40770
  0.4280   -3.33161
  0.4300   -3.24837
  0.4320   -3.15092
  0.4340   -3.04314
  0.4360   -2.92850
  0.4380   -2.81308
  0.4400   -2.69084
  0.4420   -2.57340
  0.4440   -2.45288
  0.4460   -2.33716
  0.4480   -2.22902
  0.4500   -2.11557
  0.4520   -2.00145
  0.4540   -1.89169
  0.4560   -1.77827
  0.4580   -1.66410
  0.4600   -1.55137
  0.4620   -1.43770
  0.4640   -1.33298
  0.4660   -1.22691
  0.4680   -1.11933
  0.4700   -1.01216
  0.4720   -0.90880
  0.4740   -0.80266
  0.4760   -0.69679
  0.4780   -0.59550
  0.4800   -0.48862
  0.4820   -0.37153
  0.4840   -0.26149
  0.4860   -0.14403
  0.4880   -0.02248
  0.4900    0.09974
  0.4920    0.23172
  0.4940    0.36609
  0.4960    0.50077
  0.4980    0.62964
  0.5000    0.75557
  0.5020    0.87959
  0.5040    0.99372
  0.5060    1.09696
  0.5080    1.19546
  0.5100    1.29681
  0.5120    1.40410
  0.5140    1.50399
  0.5160    1.60637
  0.5180    1.71211
  0.5200    1.81773
  0.5220    1.93171
  0.5240    2.04892
  0.5260    2.16265
  0.5280    2.28055
  0.5300    2.40168
  0.5320    2.51903
  0.5340    2.62842
  0.5360    2.73511
  0.5380    2.83818
  0.5400    2.93736
  0.5420    3.01882
  0.5440    3.08369
  0.5460    3.14852
  0.5480    3.20487
  0.5500    3.26046
  0.5520    3.31595
  0.5540    3.37222
  0.5560    3.43274
  0.5580    3.49226
  0.5600    3.55408
  0.5620    3.61566
  0.5640    3.67058
  0.5660    3.72059
  0.5680    3.76507
  0.5700    3.80501
  0.5720    3.83588
  0.5740    3.86118
  0.5760    3.88070
  0.5780    3.89159
  0.5800    3.89670
  0.5820    3.89885
  0.5840    3.89607
  0.5860    3.87948
  0.5880    3.85849
  0.5900    3.82237
  0.5920    3.76756
  0.5940    3.71166
  0.5960    3.64242
  0.5980    3.57141
  0.6000    3.50325
  0.6020    3.43608
  0.6040    3.36273
  0.6060    3.29325
  0.6080    3.22268
  0.6100    3.15415
  0.6120    3.07494
  0.6140    2.99156
  0.6160    2.90397
  0.6180    2.80111
  0.6200    2.69894
  0.6220    2.58659
  0.6240    2.46806
  0.6260    2.34446
  0.6280    2.21103
  0.6300    2.07288
  0.6320    1.92775
  0.6340    1.77393
  0.6360    1.61917
  0.6380    1.46603
  0.6400    1.30377
  0.6420    1.14924
  0.6440    0.98952
  0.6460    0.83248
  0.6480    0.67663
  0.6500    0.51651
  0.6520    0.36444
  0.6540    0.21660
  0.6560    0.07755
  0.6580   -0.05262
  0.6600   -0.17667
  0.6620   -0.29427
  0.6640   -0.39758
  0.6660   -0.49051
  0.6680   -0.57345
  0.6700   -0.65593
  0.6720   -0.72658
  0.6740   -0.80211
  0.6760   -0.87211
  0.6780   -0.94160
  0.6800   -1.00903
  0.6820   -1.07988
  0.6840   -1.14532
  0.6860   -1.20819
  0.6880   -1.27193
  0.6900   -1.33687
  0.6920   -1.39804
  0.6940   -1.45794
  0.6960   -1.51213
  0.6980   -1.56716
  0.7000   -1.61426
  0.7020   -1.64713
  0.7040   -1.67866
  0.7060   -1.68984
  0.7080   -1.69158
  0.7100   -1.67609
  0.7120   -1.65145
  0.7140   -1.62015
  0.7160   -1.58260
  0.7180   -1.55700
  0.7200   -1.53440
  0.7220   -1.52905
  0.7240   -1.53010
  0.7260   -1.54627
  0.7280   -1.56760
  0.7300   -1.58985
  0.7320   -1.61358
  0.7340   -1.62415
  0.7360   -1.61645
  0.7380   -1.59395
  0.7400   -1.55895
  0.7420   -1.50495
  0.7440   -1.44228
  0.7460   -1.37146
  0.7480   -1.30283
  0.7500   -1.23687
  0.7520   -1.17930
  0.7540   -1.12620
  0.7560   -1.08669
  0.7580   -1.05096
  0.7600   -1.02795
  0.7620   -1.00700
  0.7640   -0.99379
  0.7660   -0.97427
  0.7680   -0.95166
  0.7700   -0.93508
  0.7720   -0.90208
  0.7740   -0.85772
  0.7760   -0.81405
  0.7780   -0.74994
  0.7800   -0.69414
  0.7820   -0.62671
  0.7840   -0.56265
  0.7860   -0.49908
  0.7880   -0.44176
  0.7900   -0.39292
  0.7920   -0.35132
  0.7940   -0.31426
  0.7960   -0.28960
  0.7980   -0.26543
  0.8000   -0.24912
  0.8020   -0.23481
  0.8040   -0.22660
  0.8060   -0.20809
  0.8080   -0.18602
  0.8100   -0.16627
  0.8120   -0.13450
  0.8140   -0.09461
  0.8160   -0.04156
  0.8180    0.01608
  0.8200    0.08433
  0.8220    0.15129
  0.8240    0.21062
  0.8260    0.26868
  0.8280    0.31461
  0.8300    0.34965
  0.8320    0.36773
  0.8340    0.38879
  0.8360    0.39037
  0.8380    0.38916
  0.8400    0.38356
  0.8420    0.38481
  0.8440    0.38391
  0.8460    0.39009
  0.8480    0.39551
  0.8500    0.40691
  0.8520    0.42608
  0.8540    0.44685
  0.8560    0.47747
  0.8580    0.51058
  0.8600    0.54730
  0.8620    0.58399
  0.8640    0.61491
  0.8660    0.64420
  0.8680    0.66268
  0.8700    0.68111
  0.8720    0.69186
  0.8740    0.69330
  0.8760    0.69179
  0.8780    0.67998
  0.8800    0.66124
  0.8820    0.64524
  0.8840    0.62602
  0.8860    0.60400
  0.8880    0.58821
  0.8900    0.56770
  0.8920    0.54634
  0.8940    0.52697
  0.8960    0.50957
  0.8980    0.49451
  0.9000    0.48106
  0.9020    0.47458
  0.9040    0.47587
  0.9060    0.47657
  0.9080    0.48181
  0.9100    0.49108
  0.9120    0.49419
  0.9140    0.49916
  0.9160    0.49943
  0.9180    0.48779
  0.9200    0.46790
  0.9220    0.44026
  0.9240    0.40412
  0.9260    0.36463
  0.9280    0.32270
  0.9300    0.28837
  0.9320    0.25240
  0.9340    0.21978
  0.9360    0.19406
  0.9380    0.17744
  0.9400    0.15907
  0.9420    0.15605
  0.9440    0.14848
  0.9460    0.13945
  0.9480    0.12501
  0.9500    0.10415
  0.9520    0.07950
  0.9540    0.04611
  0.9560   -0.00035
  0.9580   -0.04524
  0.9600   -0.09612
  0.9620   -0.14626
  0.9640   -0.19325
  0.9660   -0.22975
  0.9680   -0.25862
  0.9700   -0.28907
  0.9720   -0.31272
  0.9740   -0.33219
  0.9760   -0.34810
  0.9780   -0.36510
  0.9800   -0.37950
  0.9820   -0.40425
  0.9840   -0.42187
  0.9860   -0.45341
  0.9880   -0.48849
  0.9900   -0.52723
  0.9920   -0.56566
  0.9940   -0.60462
  0.9960   -0.64087
  0.9980   -0.67073
  1.0000   -0.69655
