# z (nm)   (kJ/mol)
  0.2630  -13.37790
  0.2650  -14.12060
  0.2670  -14.85940
  0.2690  -15.60620
  0.2710  -16.36190
  0.2730  -17.12920
  0.2750  -17.90100
  0.2770  -18.66570
  0.2790  -19.42990
  0.2810  -20.20350
  0.2830  -20.97890
  0.2850  -21.74890
  0.2870  -22.51190
  0.2890  -23.26750
  0.2910  -24.01590
  0.2930  -24.75170
  0.2950  -25.47220
  0.2970  -26.17420
  0.2990  -26.85470
  0.3010  -27.50860
  0.3030  -28.13050
  0.3050  -28.72230
  0.3070  -29.28250
  0.3090  -29.80950
  0.3110  -30.30150
  0.3130  -30.75690
  0.3150  -31.17780
  0.3170  -31.56050
  0.3190  -31.90460
  0.3210  -32.21110
  0.3230  -32.48190
  0.3250  -32.71550
  0.3270  -32.91340
  0.3290  -33.07800
  0.3310  -33.20860
  0.3330  -33.30650
  0.3350  -33.37210
  0.3370  -33.40810
  0.3390  -33.41190
  0.3410  -33.38550
  0.3430  -33.33140
  0.3450  -33.25020
  0.3470  -33.14200
  0.3490  -33.00700
  0.3510  -32.84650
  0.3530  -32.66250
  0.3550  -32.45810
  0.3570  -32.23150
  0.3590  -31.98500
  0.3610  -31.72400
  0.3630  -31.44850
  0.3650  -31.15790
  0.3670  -30.85190
  0.3690  -30.53300
  0.3710  -30.20680
  0.3730  -29.87380
  0.3750  -29.53320
  0.3770  -29.18510
  0.3790  -28.83120
  0.3810  -28.47430
  0.3830  -28.11750
  0.3850  -27.75910
  0.3870  -27.39540
  0.3890  -27.03020
  0.3910  -26.66770
  0.3930  -26.30530
  0.3950  -25.94440
  0.3970  -25.58610
  0.3990  -25.23010
  0.4010  -24.87810
  0.4030  -24.52890
  0.4050  -24.18510
  0.4070  -23.84830
  0.4090  -23.51680
  0.4110  -23.19110
  0.4130  -22.87180
  0.4150  -22.55910
  0.4170  -22.25310
  0.4190  -21.95400
  0.4210  -21.66260
  0.4230  -21.37870
  0.4250  -21.10210
  0.4270  -20.83330
  0.4290  -20.57150
  0.4310  -20.31800
  0.4330  -20.07300
  0.4350  -19.83620
  0.4370  -19.60820
  0.4390  -19.38700
  0.4410  -19.17290
  0.4430  -18.96750
  0.4450  -18.76930
  0.4470  -18.57900
  0.4490  -18.39650
  0.4510  -18.22070
  0.4530  -18.05140
  0.4550  -17.88900
  0.4570  -17.73350
  0.4590  -17.58380
  0.4610  -17.44020
  0.4630  -17.30320
  0.4650  -17.17170
  0.4670  -17.04480
  0.4690  -16.92370
  0.4710  -16.80770
  0.4730  -16.69660
  0.4750  -16.59020
  0.4770  -16.48660
  0.4790  -16.38650
  0.4810  -16.29050
  0.4830  -16.19810
  0.4850  -16.10820
  0.4870  -16.02110
  0.4890  -15.93580
  0.4910  -15.85220
  0.4930  -15.77050
  0.4950  -15.69010
  0.4970  -15.61150
  0.4990  -15.53400
  0.5010  -15.45630
  0.5030  -15.37820
  0.5050  -15.30040
  0.5070  -15.22260
  0.5090  -15.14430
  0.5110  -15.06550
  0.5130  -14.98610
  0.5150  -14.90640
  0.5170  -14.82530
  0.5190  -14.74250
  0.5210  -14.65850
  0.5230  -14.57290
  0.5250  -14.48570
  0.5270  -14.39710
  0.5290  -14.30640
  0.5310  -14.21430
  0.5330  -14.12040
  0.5350  -14.02450
  0.5370  -13.92660
  0.5390  -13.82690
  0.5410  -13.72520
  0.5430  -13.62150
  0.5450  -13.51610
  0.5470  -13.40840
  0.5490  -13.29900
  0.5510  -13.18780
  0.5530  -13.07490
  0.5550  -12.96040
  0.5570  -12.84390
  0.5590  -12.72580
  0.5610  -12.60640
  0.5630  -12.48560
  0.5650  -12.36310
  0.5670  -12.23890
  0.5690  -12.11360
  0.5710  -11.98710
  0.5730  -11.85910
  0.5750  -11.73020
  0.5770  -11.60050
  0.5790  -11.46950
  0.5810  -11.33750
  0.5830  -11.20460
  0.5850  -11.07080
  0.5870  -10.93630
  0.5890  -10.80110
  0.5910  -10.66520
  0.5930  -10.52850
  0.5950  -10.39100
  0.5970  -10.25260
  0.5990  -10.11320
  0.6010   -9.97320
  0.6030   -9.83230
  0.6050   -9.69080
  0.6070   -9.54850
  0.6090   -9.40540
  0.6110   -9.26170
  0.6130   -9.11730
  0.6150   -8.97230
  0.6170   -8.82650
  0.6190   -8.67980
  0.6210   -8.53230
  0.6230   -8.38450
  0.6250   -8.23630
  0.6270   -8.08730
  0.6290   -7.93820
  0.6310   -7.78870
  0.6330   -7.63860
  0.6350   -7.48720
  0.6370   -7.33560
  0.6390   -7.18440
  0.6410   -7.03220
  0.6430   -6.87950
  0.6450   -6.72660
  0.6470   -6.57460
  0.6490   -6.42310
  0.6510   -6.27210
  0.6530   -6.12090
  0.6550   -5.96870
  0.6570   -5.81740
  0.6590   -5.66710
  0.6610   -5.51780
  0.6630   -5.36940
  0.6650   -5.22080
  0.6670   -5.07330
  0.6690   -4.92790
  0.6710   -4.78370
  0.6730   -4.64150
  0.6750   -4.50180
  0.6770   -4.36400
  0.6790   -4.22620
  0.6810   -4.09040
  0.6830   -3.95730
  0.6850   -3.82550
  0.6870   -3.69570
  0.6890   -3.56870
  0.6910   -3.44480
  0.6930   -3.32440
  0.6950   -3.20640
  0.6970   -3.09120
  0.6990   -2.97860
  0.7010   -2.86920
  0.7030   -2.76390
  0.7050   -2.66130
  0.7070   -2.56220
  0.7090   -2.46770
  0.7110   -2.37670
  0.7130   -2.28820
  0.7150   -2.20200
  0.7170   -2.12010
  0.7190   -2.04260
  0.7210   -1.96810
  0.7230   -1.89660
  0.7250   -1.82790
  0.7270   -1.76260
  0.7290   -1.70110
  0.7310   -1.64300
  0.7330   -1.58800
  0.7350   -1.53630
  0.7370   -1.48790
  0.7390   -1.44280
  0.7410   -1.40030
  0.7430   -1.36060
  0.7450   -1.32390
  0.7470   -1.29000
  0.7490   -1.25870
  0.7510   -1.22990
  0.7530   -1.20360
  0.7550   -1.17940
  0.7570   -1.15750
  0.7590   -1.13740
  0.7610   -1.11920
  0.7630   -1.10290
  0.7650   -1.08850
  0.7670   -1.07580
  0.7690   -1.06450
  0.7710   -1.05530
  0.7730   -1.04710
  0.7750   -1.03990
  0.7770   -1.03430
  0.7790   -1.02950
  0.7810   -1.02570
  0.7830   -1.02300
  0.7850   -1.02100
  0.7870   -1.01960
  0.7890   -1.01890
  0.7910   -1.01900
  0.7930   -1.01960
  0.7950   -1.02080
  0.7970   -1.02250
  0.7990   -1.02470
  0.8010   -1.02740
  0.8030   -1.03020
  0.8050   -1.03300
  0.8070   -1.03590
  0.8090   -1.03870
  0.8110   -1.04180
  0.8130   -1.04500
  0.8150   -1.04800
  0.8170   -1.05100
  0.8190   -1.05410
  0.8210   -1.05730
  0.8230   -1.06030
  0.8250   -1.06290
  0.8270   -1.06560
  0.8290   -1.06810
  0.8310   -1.07010
  0.8330   -1.07180
  0.8350   -1.07350
  0.8370   -1.07490
  0.8390   -1.07590
  0.8410   -1.07640
  0.8430   -1.07690
  0.8450   -1.07710
  0.8470   -1.07690
  0.8490   -1.07640
  0.8510   -1.07530
  0.8530   -1.07400
  0.8550   -1.07260
  0.8570   -1.07060
  0.8590   -1.06820
  0.8610   -1.06570
  0.8630   -1.06260
  0.8650   -1.05910
  0.8670   -1.05510
  0.8690   -1.05070
  0.8710   -1.04580
  0.8730   -1.04060
  0.8750   -1.03520
  0.8770   -1.02950
  0.8790   -1.02330
  0.8810   -1.01650
  0.8830   -1.00950
  0.8850   -1.00230
  0.8870   -0.99460
  0.8890   -0.98650
  0.8910   -0.97810
  0.8930   -0.96940
  0.8950   -0.96020
  0.8970   -0.95070
  0.8990   -0.94090
  0.9010   -0.93070
  0.9030   -0.92030
  0.9050   -0.90940
  0.9070   -0.89840
  0.9090   -0.88720
  0.9110   -0.87540
  0.9130   -0.86330
  0.9150   -0.85100
  0.9170   -0.83850
  0.9190   -0.82560
  0.9210   -0.81240
  0.9230   -0.79930
  0.9250   -0.78610
  0.9270   -0.77260
  0.9290   -0.75880
  0.9310   -0.74470
  0.9330   -0.73060
  0.9350   -0.71630
  0.9370   -0.70170
  0.9390   -0.68690
  0.9410   -0.67220
  0.9430   -0.65730
  0.9450   -0.64230
  0.9470   -0.62720
  0.9490   -0.61170
  0.9510   -0.59630
  0.9530   -0.58070
  0.9550   -0.56510
  0.9570   -0.54980
  0.9590   -0.53430
  0.9610   -0.51860
  0.9630   -0.50320
  0.9650   -0.48790
  0.9670   -0.47260
  0.9690   -0.45730
  0.9710   -0.44200
  0.9730   -0.42700
  0.9750   -0.41210
  0.9770   -0.39720
  0.9790   -0.38250
  0.9810   -0.36810
  0.9830   -0.35370
  0.9850   -0.33960
  0.9870   -0.32590
  0.9890   -0.31220
  0.9910   -0.29860
  0.9930   -0.28530
  0.9950   -0.27220
  0.9970   -0.25930
  0.9990   -0.24630
  1.0010   -0.23370
  1.0030   -0.22160
  1.0050   -0.21000
  1.0070   -0.19870
  1.0090   -0.18780
  1.0110   -0.17680
  1.0130   -0.16620
  1.0150   -0.15610
  1.0170   -0.14670
  1.0190   -0.13760
  1.0210   -0.12870
  1.0230   -0.12020
  1.0250   -0.11210
  1.0270   -0.10420
