# z (nm)   (kJ/mol)
  0.1500  328.00386
  0.1520  324.90149
  0.1540  321.75706
  0.1560  318.55209
  0.1580  315.09432
  0.1600  310.91590
  0.1620  306.80486
  0.1640  302.68759
  0.1660  298.36585
  0.1680  293.84629
  0.1700  289.20390
  0.1720  284.36150
  0.1740  279.29972
  0.1760  274.02306
  0.1780  268.51478
  0.1800  262.75413
  0.1820  256.74786
  0.1840  250.49454
  0.1860  244.00062
  0.1880  237.27865
  0.1900  230.34287
  0.1920  223.21524
  0.1940  215.93259
  0.1960  208.52551
  0.1980  201.03685
  0.2000  193.50651
  0.2020  185.99322
  0.2040  178.54496
  0.2060  171.20759
  0.2080  164.03145
  0.2100  157.04909
  0.2120  150.30573
  0.2140  143.82013
  0.2160  137.60315
  0.2180  131.65942
  0.2200  125.98387
  0.2220  120.56516
  0.2240  115.39098
  0.2260  110.46459
  0.2280  105.80089
  0.2300  101.44917
  0.2320   97.45801
  0.2340   93.87664
  0.2360   90.70092
  0.2380   87.87349
  0.2400   85.27888
  0.2420   82.80990
  0.2440   80.40019
  0.2460   78.04049
  0.2480   75.77042
  0.2500   73.62614
  0.2520   71.59790
  0.2540   69.67022
  0.2560   67.83068
  0.2580   66.09196
  0.2600   64.46584
  0.2620   62.97016
  0.2640   61.57950
  0.2660   60.28043
  0.2680   59.06804
  0.2700   57.93899
  0.2720   56.90022
  0.2740   55.95509
  0.2760   55.08872
  0.2780   54.28936
  0.2800   53.54992
  0.2820   52.85280
  0.2840   52.19374
  0.2860   51.56285
  0.2880   50.96610
  0.2900   50.39821
  0.2920   49.86134
  0.2940   49.35065
  0.2960   48.84483
  0.2980   48.32477
  0.3000   47.77392
  0.3020   47.15775
  0.3040   46.46253
  0.3060   45.66161
  0.3080   44.74905
  0.3100   43.71425
  0.3120   42.56829
  0.3140   41.31247
  0.3160   39.96658
  0.3180   38.55432
  0.3200   37.09853
  0.3220   35.62531
  0.3240   34.15913
  0.3260   32.72366
  0.3280   31.33331
  0.3300   30.00179
  0.3320   28.73039
  0.3340   27.52453
  0.3360   26.38327
  0.3380   25.30036
  0.3400   24.27841
  0.3420   23.31163
  0.3440   22.39455
  0.3460   21.53138
  0.3480   20.71652
  0.3500   19.95037
  0.3520   19.23252
  0.3540   18.56571
  0.3560   17.94008
  0.3580   17.35426
  0.3600   16.81056
  0.3620   16.30022
  0.3640   15.81652
  0.3660   15.35570
  0.3680   14.91735
  0.3700   14.49166
  0.3720   14.07765
  0.3740   13.67911
  0.3760   13.28828
  0.3780   12.91082
  0.3800   12.55055
  0.3820   12.19904
  0.3840   11.85897
  0.3860   11.53076
  0.3880   11.22250
  0.3900   10.91986
  0.3920   10.62962
  0.3940   10.35950
  0.3960   10.09531
  0.3980    9.85230
  0.4000    9.61907
  0.4020    9.39476
  0.4040    9.18288
  0.4060    8.98046
  0.4080    8.78712
  0.4100    8.60621
  0.4120    8.42213
  0.4140    8.24696
  0.4160    8.07837
  0.4180    7.91370
  0.4200    7.74814
  0.4220    7.58810
  0.4240    7.43438
  0.4260    7.28233
  0.4280    7.13648
  0.4300    6.99436
  0.4320    6.85675
  0.4340    6.72667
  0.4360    6.60376
  0.4380    6.49010
  0.4400    6.37988
  0.4420    6.27556
  0.4440    6.17514
  0.4460    6.08307
  0.4480    5.99385
  0.4500    5.90758
  0.4520    5.82983
  0.4540    5.75004
  0.4560    5.67181
  0.4580    5.59447
  0.4600    5.51121
  0.4620    5.41936
  0.4640    5.32475
  0.4660    5.23539
  0.4680    5.14009
  0.4700    5.04628
  0.4720    4.94650
  0.4740    4.84367
  0.4760    4.74098
  0.4780    4.63332
  0.4800    4.52851
  0.4820    4.42251
  0.4840    4.32000
  0.4860    4.22338
  0.4880    4.12988
  0.4900    4.03932
  0.4920    3.95113
  0.4940    3.86948
  0.4960    3.79038
  0.4980    3.70868
  0.5000    3.62738
  0.5020    3.54838
  0.5040    3.46372
  0.5060    3.38367
  0.5080    3.30176
  0.5100    3.21464
  0.5120    3.12758
  0.5140    3.04527
  0.5160    2.96427
  0.5180    2.88393
  0.5200    2.80785
  0.5220    2.73061
  0.5240    2.65708
  0.5260    2.59142
  0.5280    2.53540
  0.5300    2.47415
  0.5320    2.41918
  0.5340    2.35803
  0.5360    2.30305
  0.5380    2.25290
  0.5400    2.20787
  0.5420    2.16567
  0.5440    2.12287
  0.5460    2.08021
  0.5480    2.03890
  0.5500    2.00392
  0.5520    1.96417
  0.5540    1.92108
  0.5560    1.87832
  0.5580    1.84014
  0.5600    1.79960
  0.5620    1.75747
  0.5640    1.71248
  0.5660    1.66692
  0.5680    1.62082
  0.5700    1.57927
  0.5720    1.53333
  0.5740    1.48388
  0.5760    1.43832
  0.5780    1.39420
  0.5800    1.35240
  0.5820    1.31138
  0.5840    1.27024
  0.5860    1.23827
  0.5880    1.20368
  0.5900    1.17760
  0.5920    1.15351
  0.5940    1.13253
  0.5960    1.11089
  0.5980    1.09291
  0.6000    1.07379
  0.6020    1.05316
  0.6040    1.03622
  0.6060    1.02134
  0.6080    1.00299
  0.6100    0.98638
  0.6120    0.96710
  0.6140    0.95352
  0.6160    0.93342
  0.6180    0.91963
  0.6200    0.90480
  0.6220    0.88586
  0.6240    0.86686
  0.6260    0.84761
  0.6280    0.82109
  0.6300    0.80224
  0.6320    0.77630
  0.6340    0.74498
  0.6360    0.71521
  0.6380    0.68413
  0.6400    0.65353
  0.6420    0.62088
  0.6440    0.59228
  0.6460    0.55959
  0.6480    0.52627
  0.6500    0.49680
  0.6520    0.46089
  0.6540    0.43108
  0.6560    0.39970
  0.6580    0.37199
  0.6600    0.34281
  0.6620    0.31693
  0.6640    0.28861
  0.6660    0.26339
  0.6680    0.24106
  0.6700    0.22297
  0.6720    0.21076
  0.6740    0.18904
  0.6760    0.16985
  0.6780    0.15705
  0.6800    0.14101
  0.6820    0.12330
  0.6840    0.10447
  0.6860    0.09303
  0.6880    0.07566
  0.6900    0.05700
  0.6920    0.04005
  0.6940    0.02247
  0.6960    0.00652
  0.6980   -0.00608
  0.7000   -0.01047
  0.7020   -0.02041
  0.7040   -0.03064
  0.7060   -0.04553
  0.7080   -0.05312
  0.7100   -0.05380
  0.7120   -0.05832
  0.7140   -0.05489
  0.7160   -0.05066
  0.7180   -0.04924
  0.7200   -0.04189
  0.7220   -0.03231
  0.7240   -0.02240
  0.7260   -0.01523
  0.7280   -0.00039
  0.7300    0.00853
  0.7320    0.02020
  0.7340    0.03447
  0.7360    0.04347
  0.7380    0.05568
  0.7400    0.07226
  0.7420    0.08841
  0.7440    0.10702
  0.7460    0.11763
  0.7480    0.13091
  0.7500    0.15056
  0.7520    0.16510
  0.7540    0.17943
  0.7560    0.19187
  0.7580    0.20248
  0.7600    0.21375
  0.7620    0.22319
  0.7640    0.23345
  0.7660    0.24972
  0.7680    0.25852
  0.7700    0.26881
  0.7720    0.28171
  0.7740    0.28551
  0.7760    0.29330
  0.7780    0.29937
  0.7800    0.30717
  0.7820    0.31606
  0.7840    0.32424
  0.7860    0.33082
  0.7880    0.34094
  0.7900    0.34688
  0.7920    0.35268
  0.7940    0.35834
  0.7960    0.36202
  0.7980    0.36374
  0.8000    0.36462
  0.8020    0.36508
  0.8040    0.36292
  0.8060    0.36052
  0.8080    0.36412
  0.8100    0.36215
  0.8120    0.35401
  0.8140    0.35062
  0.8160    0.34217
  0.8180    0.33464
  0.8200    0.32436
  0.8220    0.31937
  0.8240    0.30921
  0.8260    0.29666
  0.8280    0.28750
  0.8300    0.27998
  0.8320    0.27199
  0.8340    0.26681
  0.8360    0.26275
  0.8380    0.25815
  0.8400    0.25280
  0.8420    0.25144
  0.8440    0.24821
  0.8460    0.24170
  0.8480    0.23949
  0.8500    0.24042
  0.8520    0.23561
  0.8540    0.23870
